duration_ms,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,album.release_year,artist.popularity,artist.number_of_followers
273960,10,0.361,0.0285,-22.845,0.0389,0.991,0.907,0.0802,0.13,89.272,2016,74,2898005
286840,0,0.56,0.209,-15.287,0.0377,0.987,0.971,0.118,0.23,127.524,1999,0,20
536226,0,0.106,0.874,-10.41,0.0963,0.621,0.873,0.409,0.306,61.602,1971,48,126012
191173,4,0.665,0.412,-14.008,0.0441,0.913,0.941,0.0843,0.879,142.734,1965,34,2830
351706,11,0.546,0.263,-13.919,0.0332,0.628,0.0228,0.0482,0.304,138.6,1962,65,1480095
226673,0,0.665,0.899,-6.049,0.0415,1.58e-05,0.549,0.0372,0.875,135.034,2018,43,58437
548066,5,0.349,0.294,-11.025,0.03,0.79,0.891,0.0589,0.207,100.178,1999,0,1738944
251412,0,0.301,0.34,-9.227,0.0314,0.776,0.259,0.232,0.463,92.474,2015,53,540626
191000,70,0.741,0.798,-5.342,0.0718,0.00781,0,0.0232,0.939,104.953,2016,89,45443239
372400,0,0.536,0.208,-20.005,0.0325,0.65,9.15e-05,0.171,0.567,134.479,1988,32,16985
401120,0,0.544,0.509,-11.256,0.0371,0.793,0.111,0.233,0.604,113.282,2007,42,3881
394160,22,0.133,0.73,-8.063,0.0569,0.0253,0.911,0.101,0.0729,164.689,2017,49,57563
240333,0,0.27,0.985,-3.375,0.118,0.00198,0.0221,0.408,0.143,89.425,2004,65,1735533
131052,1,0.16,0.982,-10.404,0.235,0.209,0.863,0.143,0.0337,143.854,2010,11,3063
299840,0,0.341,0.571,-8.977,0.0322,0.000124,0.897,0.405,0.0706,124.015,2005,54,589172
523453,26,0.515,0.437,-13.779,0.0331,0.354,4.5e-05,0.243,0.738,93.091,2018,65,1480095
291079,0,0.492,0.814,-5.024,0.0326,0.00362,0.839,0.0862,0.0913,120.278,2013,51,173496
214573,9,0.395,0.722,-9.775,0.0862,0.744,0.826,0.627,0.667,122.504,1988,53,540626
40690,50,0.559,0.291,-18.795,0.0682,0.79,0.00308,0.0994,0.359,76.543,2018,85,6547564
149586,40,0.308,0.36,-7.79,0.0355,0.534,0.032,0.0568,0.0806,80.996,2010,75,2681980
312026,0,0.572,0.214,-15.787,0.0492,0.802,0.265,0.101,0.47,77.663,2010,35,8929
234506,0,0.243,0.337,-9.936,0.0296,0.942,0.145,0.0996,0.392,88.678,2015,53,540626
320373,30,0.313,0.95,-3.784,0.138,1.94e-05,0.457,0.089,0.238,147.993,2000,47,285115
352013,0,0.452,0.598,-8.471,0.0564,0.422,0.873,0.179,0.318,74.795,2006,47,138549
359306,0,0.601,0.487,-12.514,0.0633,0.665,0.334,0.0852,0.727,123.409,2008,0,1738944
245040,11,0.328,0.0308,-22.308,0.035,0.987,0.896,0.113,0.18,79.993,2016,74,2898005
254813,31,0.421,0.912,-3.917,0.0531,0.00396,0.00341,0.758,0.5,150.584,2011,65,1348978
285000,2,0.704,0.829,-4.739,0.222,0.0216,0.611,0.353,0.499,159.962,2010,11,3063
