artist,album,track,uri,duration_ms,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,popularity_levels,album.release_year,album.release_year_category,artist.id,artist.genres,artist.popularity,artist.number_of_followers,estimated_genre_type,genre_category
Jane's Addiction,Nothing's Shocking,Idiots Rule,51Nh6X9tfaBLQF3YyK6s2A,181133,37,0.496,0.967,-8.599,0.0555,0.0746,0.0033,0.351,0.633,114.036,4,"(24,85]",1988,"[1957,2002]",02NfyD6AlLA12crYzw5YcR,alternative metal|alternative rock|blues rock|funk metal|funk rock|grunge|nu metal|permanent wave|pop rock|rap rock|rock,57,1258991,alternative,alternative
Death Grips,Year Of The Snitch,Outro,3iCfvI6rtBhe0iWHAZs529,61476,34,0.091,0.95,-8.64,0.0727,0.759,0.778,0.871,0.332,172.317,4,"(24,85]",2018,"(2015,2022]",5RADpgYLOuS2ZxDq7ggYYH,escape room|experimental hip-hop|industrial hip-hop,60,747307,experimental,other
Veronik,Anómala,Crisálida,2V9OOOaIqR4JKbmtY1SKkK,166759,0,0.158,0.189,-16.603,0.0338,0.812,0.0532,0.0915,0.0384,88.603,3,"[0,1]",2017,"(2015,2022]",581TNInp3mZTmJ1R1q2k1B,,0,3,,Not Assigned
Frank Black,Scott Pilgrim vs. the World (Original Motion Picture Soundtrack),I Heard Ramona Sing,3QM62YlDnbPAGrPiNcPSTn,220266,0,0.583,0.891,-3.971,0.0314,0.00691,0.0882,0.0823,0.857,106.068,3,"[0,1]",2010,"(2002,2010]",0LyfQWJT6nXafLPZqxe9Of,,0,1738944,,Not Assigned
VHS Head,Trademark Ribbons of Gold,Franco Zoom to Nowhere,2fcCY8v7wqTjdDP72V8yrU,330680,3,0.73,0.865,-7.095,0.245,0.0364,0.403,0.146,0.802,135.029,4,"(1,24]",2010,"(2002,2010]",4yeeydDo3JBOENa72J7KdV,vaporwave,11,3063,vaporwave,other
Flying Lotus,Cosmogramma,Arkestry,5SZw9E4I8wQfJaVJkVUlaY,171226,31,0.215,0.899,-7.066,0.225,0.165,0.668,0.677,0.194,85.687,4,"(24,85]",2010,"(2002,2010]",29XOeO6KIWxGthejQqn793,afrofuturism|alternative hip-hop|electronica|escape room|experimental hip-hop|glitch|glitch hop|hip-hop|intelligent dance music|jazztronica|psychedelic hip-hop|wonky,57,714382,alternative,alternative
Macross 82-99,CHAM!,Dark City,0vC2Q9Xa4uoINi4Jvh8U1u,206400,32,0.694,0.46,-11.489,0.0787,0.000484,0.774,0.128,0.322,99.997,4,"(24,85]",2015,"(2010,2015]",5C8KyBfvAz9PSaOd30eIow,future funk|kawaii future bass|vaporwave,52,190966,bass,other
Tina Guo,Game On!,Chrono Trigger,1QmSpNAeoFkNxq4rivmegt,171066,14,0.204,0.773,-6.469,0.111,0.0044,0.881,0.147,0.426,157.523,4,"(1,24]",2017,"(2015,2022]",46T4yCHjQfVxokuATj1SiV,cello,49,57563,cello,other
Sonny Stitt Quartet,Tune-Up!/Constellation,Groovin' High,1JR8ohWyjB8H8IJimNBCCi,264200,0,0.521,0.547,-9.423,0.0545,0.628,0.00344,0.106,0.658,121.758,4,"[0,1]",2007,"(2002,2010]",03Sna6rwmroeEViv4M4K8H,bebop|hard bop|jazz quartet,42,3881,jazz,jazz
DJ Shadow,The Mountain Will Fall,Ashes To Oceans,7FYF0Z0rCLdtKop72MDl72,376048,0,0.298,0.824,-11.297,0.241,0.213,0.775,0.115,0.105,170.682,3,"[0,1]",2016,"(2015,2022]",5CE2IfdYZEQGIDsfiRm8SI,big beat|downtempo|electronica|hip-hop|trip hop|turntablism,62,540941,big,other
bôa,Get There,A Girl,6UhJd9PKU92TUTfxsGhBqr,280320,0,0.497,0.607,-9.615,0.0532,0.123,0.422,0.096,0.362,150.032,4,"[0,1]",2005,"(2002,2010]",5jTtGLk1mGFMY5lQOvJYUj,,63,261659,,Not Assigned
Branford Marsalis Quartet,Requiem,Lykief,1aVGSJ89sI8DY8WgOIiC6J,580240,3,0.438,0.564,-10.031,0.0562,0.811,0.824,0.303,0.285,115.479,4,"(1,24]",1999,"[1957,2002]",795yvukGj0UOfcP8uftDq9,jazz quartet,34,18212,jazz,jazz
